Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Capacity (Tons),Year,Efficiency_Cost_Index,Campaign_Effectiveness_Ratio,Capacity_vs_Generation,City_Target_Encoded,Waste Type_E-Waste,Waste Type_Hazardous,Waste Type_Organic,Waste Type_Plastic,Disposal Method_Incineration,Disposal Method_Landfill,Disposal Method_Recycling,Geo_Cluster_1,Geo_Cluster_2,Geo_Cluster_3,Geo_Cluster_4
6610,68,11191,9,3056,14,45575,2019,0.002944062806673209,0.0012508934953538242,6.893813341400696,56.84,0,0,0,1,0,0,0,0,1,0,0
1181,56,11191,5,2778,12,45575,2019,0.0017992083483267362,0.001072194424588992,38.5575296108291,56.84,0,0,1,0,0,0,0,0,1,0,0
8162,53,11191,8,3390,13,45575,2019,0.0023591860808021233,0.001161543959971408,5.583118951365919,56.84,1,0,0,0,1,0,0,0,1,0,0
8929,56,11191,5,1498,14,45575,2019,0.00333555703802535,0.0012508934953538242,5.103583426651736,56.84,0,0,0,0,0,1,0,0,1,0,0
5032,44,11191,7,2221,16,45575,2019,0.0031503150315031502,0.0014295925661186562,9.055235446056031,56.84,0,1,0,0,0,0,1,0,1,0,0
7456,73,11191,9,3195,6,45575,2020,0.002816020025031289,0.000536097212294496,6.111707120826069,56.84,0,0,0,1,0,1,0,0,1,0,0
7118,37,11191,6,3686,14,45575,2020,0.0016273393002441008,0.0012508934953538242,6.401882286838039,56.84,0,0,1,0,0,0,0,0,1,0,0
9189,57,11191,10,1791,12,45575,2020,0.005580357142857143,0.001072194424588992,4.959194776931447,56.84,1,0,0,0,0,1,0,0,1,0,0
8609,48,11191,8,1681,20,45575,2020,0.0047562425683709865,0.0017869907076483202,5.293263646922184,56.84,0,0,0,0,1,0,0,0,1,0,0
6632,71,11191,6,2311,12,45575,2020,0.0025951557093425604,0.001072194424588992,6.870948288858736,56.84,0,1,0,0,1,0,0,0,1,0,0
6932,81,11191,10,2543,16,45575,2021,0.003930817610062893,0.0014295925661186562,6.573633347757104,56.84,0,0,0,1,1,0,0,0,1,0,0
4171,44,11191,9,4756,14,45575,2021,0.0018919487071683834,0.0012508934953538242,10.924017257909876,56.84,0,0,1,0,1,0,0,0,1,0,0
5095,30,11191,10,3586,2,45575,2021,0.0027878449958182324,0.00017869907076483203,8.94328885400314,56.84,1,0,0,0,0,0,0,0,1,0,0
3514,77,11191,9,3520,0,45575,2021,0.0025560920193126954,0.0,12.965860597439544,56.84,0,0,0,0,1,0,0,0,1,0,0
4505,54,11191,10,3655,4,45575,2021,0.002735229759299781,0.00035739814152966406,10.114292055037728,56.84,0,1,0,0,0,0,0,0,1,0,0
2501,41,11191,9,1194,4,45575,2022,0.007531380753138075,0.00035739814152966406,18.2154276578737,56.84,0,0,0,1,0,0,1,0,1,0,0
3348,79,11191,6,2383,10,45575,2022,0.0025167785234899327,0.0008934953538241601,13.608539862645566,56.84,0,0,1,0,1,0,0,0,1,0,0
6915,41,11191,9,2324,1,45575,2022,0.003870967741935484,8.934953538241601e-05,6.589791787160208,56.84,1,0,0,0,1,0,0,0,1,0,0
5862,48,11191,7,2867,19,45575,2022,0.0024407252440725243,0.0016976411722659042,7.773324236738871,56.84,0,0,0,0,0,1,0,0,1,0,0
4856,74,11191,10,826,1,45575,2022,0.012091898428053204,8.934953538241601e-05,9.383364216594606,56.84,0,1,0,0,0,1,0,0,1,0,0
6569,48,11191,5,4287,16,45575,2023,0.0011660447761194029,0.0014295925661186562,6.936834094368341,56.84,0,0,0,1,0,1,0,0,1,0,0
7809,35,11191,8,3128,7,45575,2023,0.002556727388942154,0.0006254467476769121,5.835467349551856,56.84,0,0,1,0,0,0,1,0,1,0,0
7232,82,11191,6,1565,9,45575,2023,0.0038314176245210726,0.0008041458184417441,6.300981612055855,56.84,1,0,0,0,0,1,0,0,1,0,0
4039,54,11191,9,1252,12,45575,2023,0.007182761372705506,0.001072194424588992,11.280940594059405,56.84,0,0,0,0,0,0,1,0,1,0,0
7077,70,11191,9,2850,5,45575,2023,0.003156787092248334,0.00044674767691208004,6.43896580955072,56.84,0,1,0,0,1,0,0,0,1,0,0
1061,59,14376,5,4240,1,74509,2019,0.001178967224711153,6.955554009876887e-05,70.15913370998116,59.8,0,0,0,1,0,1,0,0,0,0,1
2224,84,14376,10,3219,4,74509,2019,0.003105590062111801,0.0002782221603950755,33.48719101123596,59.8,0,0,1,0,0,1,0,0,0,0,1
2395,43,14376,5,2005,1,74509,2019,0.0024925224327018943,6.955554009876887e-05,31.097245409015024,59.8,1,0,0,0,0,0,0,0,0,0,1
1887,80,14376,7,4307,4,74509,2019,0.0016248839368616526,0.0002782221603950755,39.46451271186441,59.8,0,0,0,0,1,0,0,0,0,0,1
4158,48,14376,5,4183,6,74509,2019,0.0011950286806883365,0.0004173332405926132,17.91512382784323,59.8,0,1,0,0,0,0,0,0,0,0,1
763,75,14376,5,1337,20,74509,2020,0.0037369207772795215,0.0013911108019753773,97.52486910994764,59.8,0,0,0,1,0,0,1,0,0,0,1
7143,69,14376,9,682,16,74509,2020,0.013177159590043924,0.001112888641580302,10.429591265397537,59.8,0,0,1,0,0,1,0,0,0,0,1
7516,84,14376,5,620,18,74509,2020,0.008051529790660225,0.0012519997217778397,9.912065983770121,59.8,1,0,0,0,0,0,0,0,0,0,1
3125,77,14376,8,4345,5,74509,2020,0.0018407731247123793,0.0003477777004938443,23.83525271912988,59.8,0,0,0,0,0,0,1,0,0,0,1
6574,84,14376,8,913,20,74509,2020,0.0087527352297593,0.0013911108019753773,11.332167300380227,59.8,0,1,0,0,1,0,0,0,0,0,1
3407,82,14376,10,2802,4,74509,2021,0.0035676061362825543,0.0002782221603950755,21.862969483568076,59.8,0,0,0,1,0,0,0,0,0,0,1
9617,36,14376,6,2676,5,74509,2021,0.0022413149047441168,0.0003477777004938443,7.746828862549386,59.8,0,0,1,0,0,0,1,0,0,0,1
1426,38,14376,5,1674,2,74509,2021,0.0029850746268656717,0.00013911108019753774,52.21373510861948,59.8,1,0,0,0,0,0,0,0,0,0,1
8566,34,14376,8,2594,19,74509,2021,0.0030828516377649326,0.0013215552618766084,8.697210225283063,59.8,0,0,0,0,0,1,0,0,0,0,1
2873,76,14376,8,1904,16,74509,2021,0.004199475065616798,0.001112888641580302,25.925191370911623,59.8,0,1,0,0,1,0,0,0,0,0,1
6770,66,14376,10,3496,2,74509,2022,0.0028595939376608523,0.00013911108019753774,11.004135282823807,59.8,0,0,0,1,0,1,0,0,0,0,1
8105,40,14376,8,3175,12,74509,2022,0.0025188916876574307,0.0008346664811852264,9.191833209967925,59.8,0,0,1,0,0,0,1,0,0,0,1
6564,72,14376,7,4437,13,74509,2022,0.0015772870662460567,0.0009042220212839953,11.34942878903275,59.8,1,0,0,0,0,0,1,0,0,0,1
7226,48,14376,8,2360,11,74509,2022,0.0033883947479881405,0.0007651109410864575,10.309810433098104,59.8,0,0,0,0,1,0,0,0,0,0,1
3464,32,14376,6,2523,1,74509,2022,0.002377179080824089,6.955554009876887e-05,21.503318903318902,59.8,0,1,0,0,1,0,0,0,0,0,1
2397,67,14376,9,3644,0,74509,2023,0.0024691358024691358,0.0,31.071309424520432,59.8,0,0,0,1,0,1,0,0,0,0,1
9092,71,14376,6,2194,14,74509,2023,0.002733485193621868,0.0009737775613827642,8.194105355768173,59.8,0,0,1,0,0,1,0,0,0,0,1
7257,32,14376,5,3259,5,74509,2023,0.0015337423312883436,0.0003477777004938443,10.265775695783962,59.8,1,0,0,0,1,0,0,0,0,0,1
8220,66,14376,6,1687,10,74509,2023,0.0035545023696682463,0.0006955554009876886,9.063252645663544,59.8,0,0,0,0,1,0,0,0,0,0,1
3054,32,14376,9,1135,7,74509,2023,0.007922535211267605,0.0004868887806913821,24.389198036006547,59.8,0,1,0,0,0,1,0,0,0,0,1
7843,36,18195,10,4211,13,52609,2019,0.0023741690408357074,0.0007144427346669598,6.706909739928608,56.32,0,0,0,1,1,0,0,1,0,0,0
8884,32,18195,6,4262,17,52609,2019,0.0014074595355383533,0.0009342712684106397,5.921102982554868,56.32,0,0,1,0,1,0,0,1,0,0,0
2167,61,18195,6,4554,0,52609,2019,0.0013172338090010978,0.0,24.266143911439116,56.32,1,0,0,0,0,0,1,1,0,0,0
4750,31,18195,7,4444,2,52609,2019,0.0015748031496062992,0.00010991426687183997,11.073247737318459,56.32,0,0,0,0,0,0,0,1,0,0,0
